ruc,nombre_compania,certificada
0990900418001,AQUACULTURA PUROCONGO S.A.,1
1390150233001,DIVACCI S.A.,1
0990976139001,MASI S.A.,1
0992766107001,JELEBRAT S.A.,1
01391791488001,GRUPO DEGFER CIA. LTDA.,1
0991336052001,BRUMESA S.A.,1
0991257721001,INDUSTRIAL PESQUERA SANTA PRISCILA S.A.,1
0992419857001,AGROBALAO S.A.,1
0990033110001,SOCIEDAD NACIONAL DE GALAPAGOS C.A.,1
0990553963001,PROMARISCO S.A.,1
0990608504001,OPERADORA Y PROCESADORA DE PRODUCTOS MARINOS OMARSA S.A.,1
0791722101001,PESQUERA MARYCIELO CIA LTDA,1
0790050487001,PESQUERA E INDUSTRIAL BRAVITO S A,1
0992856653001,BELLITEC S.A.,1
0990171092001,GRAN COLOMBIANA DEL MAR GRANCOMAR SA,1
0993036366001,GODPROEX PRODUCTORA Y EXPORTADORA S.A.,1
0990576459001,PRODUMAR S.A.,1
0993021156001,GREENTRAILCORP CIA. LTDA.,1
0992721138001,LIMBOMAR S.A.,1
0993000019001,CAMARONERA SUPRACAMARON ECUADOR ECUASUPRA S.A.,1
0993188425001,EXPORTADORA Y COMERCIALIZADORA CARECA EXPORCARECA S.A.,1
0992839473001,LUKMAR S.A.,1
0990666407001,BIOSUPER S.A.S.,1
0990555575001,ECUACULTIVOS ECUATORIANA DE CULTIVOS SA,1
0990666253001,EXPORTADORA LANGOSMAR S.A.,1
0992593083001,TERRAQUIL S.A.,1
0991329331001,COFIMAR S.A.,1
0990488401001,CAMARONES ROLESA SA,1
0990621705001,CAMARONERA ESCALANTE S.A.,1
