latitude,longitude,ruc
-2.21,-80.02,990171092001
-2.48,-79.94,990553963001
-2.47,-80.12,990555575001
-2.43,-80.63,991257721001
-2.24,-79.83,990576459001
-3.29,-80.05,790050487001
-2.5,-80.13,990666253001
-2.41,-79.87,990666407001
-2.69,-80.02,990608504001
-2.55,-80,990621705001
-2.97,-79.8,791722101001
1.19,-79.07,990900418001
-2.6,-80.23,991329331001
-2.28,-79.82,992721138001
-2.48,-80.56,992856653001
-2.34,-79.73,992839473001
-2.29,-79.73,993000019001
-2.24,-79.76,993036366001
-2.29,-79.82,993021156001
-2.37,-79.71,993188425001
